stage_id,seen_classes,probe_class,n_train,n_test_seen,n_test_unseen,test_unseen_ratio,accuracy,f1_macro,cade_detected,cade_score,chen_detected,chen_score,mateen_detected,mateen_score,gidx_detected,gidx_score,pe_detected,pe_score,lmt_detected,lmt_score,gidx_ref_median,gidx_ref_mad,pe_ref_median,pe_ref_mad,pe_ref_mean,pe_ref_std,lmt_ref_median,lmt_ref_mad,cade_score_benign,chen_score_benign,mateen_score_benign,gidx_score_benign,pe_score_benign,lmt_score_benign,cade_score_seen_mean,chen_score_seen_mean,mateen_score_seen_mean,gidx_score_seen_mean,pe_score_seen_mean,lmt_score_seen_mean,cade_score_unseen,chen_score_unseen,mateen_score_unseen,gidx_score_unseen,pe_score_unseen,lmt_score_unseen,cade_score_norm,chen_score_norm,mateen_score_norm,gidx_score_norm,pe_score_norm,lmt_score_norm
0,benign | HTTP Flood,None,8000,1600,0,0.0,0.999375,0.9993749997558592,,1.267755312580091,False,1.4568450987581196,False,0.4692709132601802,True,0.25009145872070315,True,0.009674145465876886,,22.167015292786722,0.25,1e-09,0.007893467179205539,1e-09,0.008923584891002617,0.017431157524906853,23.629953906709947,4.958871355428961,1.3743859381654673,1.2698175765289614,3.703892777536181e-06,0.2500087936328125,0.00961429811691245,23.00198456232746,1.1611246766052141,1.6438726258605356,0.02023499156247518,0.25017405203125,0.009733992814841321,21.332045619677945,,,,,,,0.5906528626487594,1.0,0.6953635742395378,0.0,0.0,0.0
1,benign | HTTP Flood,OS Scan,8000,1600,400,0.2,0.7995,0.5995833333333334,False,1.6992352577522392,False,1.3619744027862284,True,7.2166037476214475e-06,True,0.2527612342,True,0.030229306579960424,False,36.36657293990362,0.25,1e-09,0.007893467179205539,1e-09,0.008689089305144814,0.014715022870205834,23.444581134013717,4.818979057437823,1.4117058813030638,1.2736249984249834,8.133950247275704e-06,0.2500241376953125,0.009515855830610822,22.52615768169736,1.1117265111404568,1.6588037363166626,3.022471558169154e-07,0.2501406576953125,0.00981094593857081,20.048883991244637,3.449311506828993,0.9450145467737988,4.1795092437599435e-34,0.261816445,0.11249292936143884,96.68278176906153,1.0,0.7606745580813892,0.0,0.05376309219693024,0.021940385269358664,0.7279068572374049
2,benign | HTTP Flood | OS Scan,Command Injection,12000,1600,400,0.2,0.6415,0.546886471460904,False,0.815636559108363,False,1.2814436004256204,True,0.016754134126994343,True,0.27439906973125,False,0.4072899521303697,False,41.6743980106909,0.2548302473958333,0.005224481631250053,0.2306618784740742,0.31859545263233846,0.24400016146667144,0.22613470293636423,31.830594038719237,4.223116164860011,0.509745389957755,1.2933626703331982,2.860924271305273e-16,0.2648668181626899,0.5505295197666268,29.523117362608346,0.8144507570406807,1.4014818020824498,3.4363488713122694e-08,0.2608258890699745,0.24201771718118847,28.410112559235422,1.2271613873889258,0.9456298323832942,1.2511851343137592e-09,0.25663179953125,0.6565156354755348,93.24567672963433,0.1617255867758929,0.5575236307526475,0.024815890318030543,0.48949896423175276,0.42441136505753724,1.0
3,benign | HTTP Flood | OS Scan | Command Injection,BrowserHijacking,16000,1600,400,0.2,0.5985,0.5404396980836524,False,0.8040130446356982,False,1.0640714369619029,True,0.0002966527949154322,True,0.287969187325,False,0.6051656252117591,False,35.10428362210191,0.2574197192382812,0.003701718470214903,0.34724371174481106,0.4797804813217151,0.3480076918509014,0.2984164975864856,31.15505087849291,6.121960263471036,0.4852936240765712,1.0210415256746017,5.5269840055846915e-05,0.2724398125,0.7850735897542745,28.931303365474427,0.8912938085552399,1.1567634488946714,0.026307974901649694,0.27286313203125,0.44392261333228006,34.506836942215465,0.8608901492037273,0.8290542121810006,2.7784095175395475e-13,0.267855458125,0.9090327981461327,43.06960321390319,0.15069830166430398,0.009170015879069867,0.00042889187004823917,0.7627696901686438,0.635621993801515,0.6631985703259496
4,benign | HTTP Flood | OS Scan | Command Injection | BrowserHijacking,SQL Injection,20000,1600,400,0.2,0.549,0.5174276199349525,False,0.6451667037026813,False,1.0604363625563304,False,0.3217240291895219,True,0.29455880298320314,False,0.8046088231923607,False,31.037589042864266,0.26001851781249996,0.0021874794676874573,0.5167816455954779,0.5034930120910294,0.4541682213815614,0.3511332874409202,31.8574577529108,5.051613687086541,0.44378052830401044,1.084626829629282,0.0008055689690418684,0.27932822786458333,0.9323857137412993,27.37403799579684,0.7154912077522061,1.1130971562834648,0.026755374192018386,0.27874813186518355,0.6720904176241522,30.280355558924278,0.5812372421620416,0.8753171908500176,0.0026501453303965227,0.2640357325,1.1303701492134766,36.39157664824987,0.0,0.0,0.476725888421714,0.8954692811723101,0.8485057838511691,0.45472905711415573
5,benign | HTTP Flood | OS Scan | Command Injection | BrowserHijacking | SQL Injection,XSS,24000,1600,400,0.2,0.4935,0.4786367997463232,False,0.6500141099363433,False,1.099293793117313,False,0.6748537487500825,True,0.2997496046755094,False,0.9465383281924358,False,33.70913451149897,0.26029034130021167,0.0034910167221430064,0.6676828119311647,0.45211584270247257,0.5599846585022987,0.3862792793375184,33.87050176782901,9.088302422449667,0.3928229271976065,1.122996656180183,0.007106937406296091,0.2867921116862349,1.0356516890948042,27.184546647378923,0.6592620603278689,1.1095771801757355,0.2539501969469179,0.2832245273984967,0.8391371373831769,31.162134384069276,0.7902245277355157,1.049091609372927,0.09190755337872303,0.2720585392277964,1.2463683082527592,46.54466663508865,0.004598758036219895,0.09802364835169135,1.0,1.0,1.0,0.591679539260729
